"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0891","TLI0892","TLI0893","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112","TLI1115","TLI1116"
"460","boga1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","N",NA
"461","boga1251","True","True","?","?","?","False","?","False","False","False","False","False","?","?","True","False","?","?","?","FALSE","FALSE","Neither","?","?"
"462","bogh1241","True","False","?","?","?","True","?","True","False","True","False","False","?","?","True","False","?","?","?","?","?","Neither","?","?"
"473","bond1248","?","False","False","?","?","?","True","?","?","?","False","?","?","?","True","False","?","?","FALSE","?","FALSE","?","?","?"
"476","bong1291","False","False","False","?","?","False","?","?","?","?","?","?","?","?","False","False","?","?","?","?","FALSE","?",NA,"N"
"477","bora1263","?","True","False","?","False","False","False","False","False","False","?","?","False","?","False","?","?","FALSE","FALSE","?","FALSE","Neither",NA,NA
"479","bord1248","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?","?","?"
"484","boru1252","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","TRUE","FALSE","?","?","?",NA,NA
"490","brem1238","?","False","False","False","?","False","?","?","?","?","?","?","?","False","False","False","?","?","?","?","FALSE","?",NA,"N"
"491","bret1244","False","False","False","False","False","True","False","False","False","False","False","?","False","False","False","True","False","FALSE","FALSE","FALSE","FALSE","Neither","M","T"
"502","bugl1243","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","FALSE","FALSE","?",NA,NA
"508","buku1249","?","?","False","False","False","False","?","False","False","False","False","?","?","False","?","?","False","?","?","?","?","Neither","?","N"
"510","bulg1262","True","False","False","False","False","False","True","False","False","False","False","?","False","False","?","?","True","TRUE","FALSE","FALSE","FALSE","Neither",NA,"T"
"519","buna1275","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"FALSE","TRUE","?","?","?","?","?"
"522","bung1264","?","False","False","?","False","False","False","?","False","?","?","?","?","?","False","False",NA,"?","?","?","?","?",NA,"?"
"523","buno1241","?","?","?","?","?","?","True","?","?","?","False","?","?","?","True","False","?","?","FALSE","?","?","Neither","?","?"
"527","bura1292","True","False","?","?","?","True","?","False","False","False","False","False","?","?","False","True","?","?","?","FALSE","FALSE","Neither","?","?"
"529","buri1258","False","False","False","False","False","False","False","False","False","False","False","?","False","False","False","False","?","TRUE","FALSE","FALSE","FALSE","Neither",NA,NA
"532","buru1296","False","False","?","?","False","False","?","False","False","False","False","?","?","?","?","?","False","FALSE","FALSE","?","FALSE","Neither",NA,"M"
"546","cabe1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","TRUE","FALSE","?","?","?",NA,NA
"548","caca1247","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?",NA,"M"
