"","rec_ma+lexibank_ArmAndHand+WALS_129A","o_lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInManAndWoman","o_lexibank_ElbowAndKnee","o_lexibank_EyeInTear","o_lexibank_BarkAndSkin","rec_c_lexibank_FatherWithP","rec_ma+lexibank_FingerAndHand+WALS_130A","rec_mca+lexibank_FirstPersonWithM+lexibank_FirstPersonWithN+WALS_136B","rec_ma+lexibank_GreenAndBlue+WALS_134A","o_lexibank_HairAndFeather","o_lexibank_HearAndSmell","o_lexibank_FingerAndToe","o_lexibank_LegAndFoot","rec_c_lexibank_MotherWithM","o_lexibank_MouthInLip","rec_ma+lexibank_RedAndYellow+WALS_135A","rec_mca+lexibank_SecondPersonWithM+lexibank_SecondPersonWithN+lexibank_SecondPersonWithT+WALS_137B","o_lexibank_SeeAndKnow","o_lexibank_SkinInLip","o_lexibank_ThreeInEight","o_lexibank_ThreeInThirteen","o_lexibank_ToeAndFoot","o_lexibank_WaterInTear","rec_c_lexibank_WindWithF","o_lexibank_TreeInBark"
"gdon1234","FALSE",NA,"False","False","False","False","False","FALSE",NA,"FALSE","False","False",NA,NA,"False","False","FALSE","N","False","False","False","False",NA,"False",NA,"False"
"geji1246",NA,"False","False",NA,NA,"False","False",NA,NA,"FALSE",NA,NA,NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"gepo1234","FALSE","True","False","False","False",NA,"False","FALSE",NA,NA,"True",NA,NA,NA,"False","False","FALSE","N","False","True","False",NA,NA,"True",NA,NA
"gera1246",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,NA,NA,NA,"False","False",NA,NA,"False","True","False","True",NA,NA,NA,"False"
"ghul1238",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","True","False","False",NA,NA,"True","FALSE",NA,"False","True","False",NA,"False",NA,NA,"False"
"gily1242","TRUE","True","False","False","False","False",NA,"FALSE","N",NA,"False",NA,"True","True",NA,"False",NA,"T","False","False","False",NA,"False","False","False","False"
"gira1247",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"glav1244",NA,"False","False",NA,NA,"False","False",NA,NA,NA,NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,"True","False"
"goem1240",NA,"False","False",NA,NA,"False","False",NA,NA,"TRUE",NA,"False",NA,NA,"False","True","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"gras1249",NA,"False","False",NA,NA,"True",NA,"FALSE",NA,NA,"True","False","False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,NA
"guah1255","FALSE",NA,NA,NA,NA,NA,NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,NA
"guaj1255","FALSE",NA,NA,NA,NA,NA,"False","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA,"N",NA,NA,NA,NA,NA,NA,"False",NA
"guam1248","FALSE",NA,"False","False",NA,"True","False","FALSE","N","TRUE","False","False","False","False","False","True","FALSE","N","True","True",NA,NA,"False",NA,"False","False"
"guan1269","FALSE",NA,"False","False",NA,"False","True","FALSE",NA,NA,"False","False","False","False",NA,"True","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"True"
"guay1257","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"gudu1250",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"gudu1252",NA,"False","False",NA,NA,"False","False",NA,NA,NA,NA,"True",NA,NA,"False",NA,"FALSE",NA,"False",NA,"False","False",NA,NA,NA,"False"
"guga1239",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"gugu1255","FALSE",NA,"False","False",NA,NA,"False","FALSE",NA,NA,"False",NA,NA,NA,"False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"guhu1244",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","N","False","True","True",NA,"False",NA,NA,"False"
"guma1253",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"guma1255",NA,"True","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA
"gupa1247",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"gurd1238",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","True",NA,"False","True",NA,NA,NA,"False",NA,NA,NA,NA,NA,"False",NA
"guya1249",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"halk1245",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","T","False","False","False",NA,"False",NA,"False","False"
"hani1248","FALSE",NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE",NA,NA,NA,NA,"False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"hawa1245","TRUE","False","False","False","True","True","False","TRUE",NA,"FALSE","False","False","False","True","True","False","FALSE",NA,"True","False","False",NA,"False","True","False","False"
"hebr1245","FALSE","False","True","False","False","False","False","FALSE",NA,"FALSE","False","False","True","True","False","False","FALSE",NA,"False","False","False",NA,"False","False","False","True"
"heqi1238",NA,NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE","False",NA,NA,NA,"True",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"high1242","TRUE",NA,"False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","M","True","False","False",NA,"False",NA,NA,"False"
"hlep1236","TRUE","False","True","False","False","False","False",NA,NA,"FALSE",NA,NA,NA,"False","False","False","FALSE","N",NA,"False","False",NA,"False","False",NA,"False"
"hmon1333","FALSE","False","False",NA,NA,NA,NA,"FALSE",NA,NA,NA,"True","False",NA,NA,"False",NA,NA,"False","False","False",NA,"False",NA,NA,"False"
"honi1244","TRUE","False","False","False","False",NA,"False","FALSE",NA,"FALSE","True","False",NA,NA,"False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"hrus1242",NA,NA,"False","False",NA,NA,NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,"FALSE",NA,"False",NA,"True",NA,NA,NA,NA,NA
"huba1236",NA,"False","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,"False","False"
"huil1243","FALSE","False","True","False","False",NA,"False","FALSE",NA,NA,"True",NA,NA,NA,"False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"humb1243",NA,NA,"False","False",NA,"False","True","FALSE",NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,NA,NA
"hung1274","FALSE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"hupd1244","FALSE",NA,"False",NA,NA,NA,NA,"FALSE",NA,NA,NA,"False","False",NA,NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"hwan1240",NA,"False","False",NA,NA,"False","True",NA,NA,"TRUE",NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"hyaa1239",NA,"True","True",NA,NA,"False","True",NA,NA,NA,NA,"False",NA,NA,"True","True",NA,NA,"False","False","False","False",NA,NA,NA,"False"
"icel1247","FALSE","False","False","False","False","False",NA,"FALSE",NA,"FALSE","False","False","False","False",NA,"False","FALSE","T","False","False","False",NA,"False","False","True","False"
"inar1241","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE","T","False","False","False",NA,"False","False",NA,"False"
"ines1240","TRUE",NA,"False",NA,NA,"False",NA,"FALSE","N","FALSE","False","False",NA,NA,NA,"False","FALSE","M","False","False","False",NA,NA,NA,NA,"False"
"inga1252","FALSE",NA,"False","False",NA,"False",NA,"FALSE",NA,NA,"True","False","False","False",NA,"True","FALSE",NA,"False","True",NA,NA,"False",NA,NA,"False"
"iris1253","FALSE","False","False","False","False","True","False","FALSE","M","FALSE","False","False","False","True","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"iseb1246",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA
"ital1282","FALSE","True","False","False","False","False",NA,"FALSE",NA,"FALSE","False","True","False","False",NA,"False","FALSE","T","False","False","False",NA,"False","False","True","False"
"itip1234","FALSE","False","False",NA,NA,"False","False","FALSE",NA,NA,"False",NA,NA,"False","False",NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,"False"
"iumi1238",NA,NA,NA,NA,"False",NA,"False","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE","M","False",NA,"False","False",NA,"False","False",NA
"jama1261",NA,"False","False",NA,NA,"True",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE","T","False","False",NA,NA,"False",NA,"False","False"
"jams1239",NA,NA,"False","False",NA,"False","False","FALSE",NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,"False","False"
"jaru1254",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"True","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"jeri1243","TRUE",NA,"True","False",NA,"True","False","FALSE",NA,NA,"True",NA,NA,NA,"False",NA,"FALSE","N",NA,NA,"False",NA,NA,NA,NA,NA
"jian1239",NA,NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE","False",NA,NA,NA,"False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"jili1241",NA,"True","False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA
"jing1260","FALSE","True","False","False","True","True",NA,"FALSE",NA,NA,"False","False","False","True",NA,"False","FALSE","N","False","False",NA,NA,"False","False",NA,"False"
"jion1236",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE","M","False",NA,"False","False",NA,"True",NA,NA
"juho1239","FALSE","False","False",NA,NA,"False",NA,"FALSE","M","TRUE","False","True","False",NA,NA,"True","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"kaer1234",NA,NA,"True",NA,"False","False","False",NA,NA,NA,NA,"False",NA,NA,"False","True","FALSE",NA,"True","False","False",NA,NA,"False",NA,"True"
"kain1272","FALSE","False","False",NA,NA,"True",NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,"True","FALSE",NA,"False","True",NA,NA,"False",NA,"False","False"
"kala1376",NA,NA,"False","False",NA,NA,"False","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"kala1377",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,"False",NA
"kalk1246",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","True",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"kalm1243","FALSE","False","False","False","False","False","False","FALSE",NA,"TRUE","False","False","True","False","False","False","FALSE",NA,"False","False","False",NA,"False","False","False","False"
"kama1365",NA,NA,"False",NA,"False","False",NA,NA,NA,"TRUE","True","False",NA,NA,"False","True","FALSE",NA,"False","False","False",NA,NA,"False","False","False"
"kamw1239",NA,"False",NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,"True",NA,"FALSE",NA,"False","False","False",NA,NA,NA,"False","False"
"kana1293","FALSE","False","False",NA,NA,"False","False","FALSE",NA,NA,"False",NA,NA,"False","False",NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,"False"
"kane1243","TRUE","False","False","False",NA,NA,"True","FALSE",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,"False","True","False",NA,NA,NA
"kara1476",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"kara1499","TRUE","True","False","False","False","False",NA,"FALSE",NA,"TRUE","False","False","False","True",NA,"True","FALSE",NA,"False","False","False",NA,"False","True",NA,"True"
"kara1500","FALSE",NA,NA,NA,NA,NA,NA,"TRUE",NA,"TRUE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,"False",NA
"kare1335","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"kare1341",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"kare1348",NA,"False","False",NA,NA,"False","True",NA,NA,"TRUE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"kari1304",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE",NA,"False",NA,NA,NA,NA,NA,NA,NA
"karo1304","FALSE","False","False",NA,NA,"True",NA,"TRUE","N","TRUE","False","False","False",NA,NA,"False","FALSE","M","False","False","False",NA,"True",NA,"False","False"
"kart1247",NA,NA,NA,"False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"katc1249",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"True","FALSE",NA,"False","False","True",NA,"False",NA,"False","False"
"kats1235",NA,"True","False","False","False",NA,"True","FALSE",NA,"FALSE","True","False",NA,NA,"True","True","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"kaur1267","FALSE",NA,"False","False",NA,NA,"False","TRUE",NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"kaza1248","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","False","False","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"kein1239",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"kekc1242","FALSE",NA,"False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"kelo1247",NA,NA,"True",NA,NA,"False","False",NA,NA,"TRUE","False","False",NA,NA,NA,"False","FALSE",NA,"False","False","False",NA,NA,NA,NA,"False"
"khak1248","TRUE",NA,NA,NA,NA,NA,"True","FALSE","M",NA,NA,NA,NA,NA,"False",NA,NA,"T",NA,NA,NA,NA,NA,NA,"False",NA
"khan1273","TRUE","False","False","False","True","False",NA,"FALSE",NA,"FALSE","False","False",NA,"True",NA,"False","FALSE","N","False","False","False",NA,NA,"True","False","False"
"khoi1252","TRUE",NA,"True","False",NA,"True",NA,"FALSE",NA,NA,"True",NA,NA,NA,NA,NA,"FALSE","N",NA,NA,"False",NA,NA,NA,NA,NA
"khoi1253","TRUE",NA,"True","False",NA,"True","False","FALSE",NA,NA,"True",NA,NA,NA,"False",NA,"FALSE","N",NA,NA,"False",NA,NA,NA,NA,NA
"khon1248","FALSE","False","True","False","True","False","False","FALSE",NA,NA,"False","False","False","False","False","False","FALSE","N","False","False",NA,NA,"False","True",NA,"False"
"khum1248",NA,NA,"True",NA,NA,"False","False",NA,NA,NA,"False","False",NA,"True","False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,"False"
"kild1236","TRUE","False","False","False","False","False","False","FALSE","M","FALSE",NA,"False","False",NA,"False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"kiry1234",NA,"False","False",NA,NA,"False","False",NA,NA,"FALSE",NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"klam1254","FALSE","True","False",NA,NA,"False",NA,"FALSE","N","FALSE","False","False",NA,NA,NA,NA,"FALSE",NA,"False",NA,"True",NA,NA,NA,"False","False"
"klao1243","FALSE","False","True","False",NA,NA,"False","FALSE",NA,NA,NA,NA,"False","False",NA,NA,NA,NA,NA,NA,"True","True","False",NA,NA,NA
"kobo1248",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"komi1268","TRUE","False","False","False","False","False","True","FALSE","M","FALSE","False","False","False","True","True","True","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"komi1269","FALSE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","True","False","True","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"kony1246","TRUE","True","False","False","False","False","False","FALSE",NA,NA,"False","False","False","True","False","False","FALSE","N","False","False",NA,NA,"False","False",NA,"False"
"koon1244","TRUE","True","False","False",NA,NA,"False","FALSE",NA,NA,NA,NA,"False","False","True",NA,NA,NA,NA,NA,"False","False","False",NA,NA,NA
"kopa1248",NA,NA,NA,NA,NA,NA,"False",NA,"M",NA,NA,NA,NA,NA,"False",NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA
"kora1294","TRUE","False","False","False","False",NA,"False","FALSE",NA,NA,NA,NA,NA,NA,"False",NA,"FALSE",NA,NA,NA,NA,NA,NA,"False",NA,NA
"kora1296",NA,"False","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"True",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"kore1283","TRUE",NA,"True","False",NA,"False","False","FALSE",NA,NA,"True","False","False","True",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"kowa1245",NA,"False","True","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"True",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"koyo1242",NA,NA,NA,NA,"False","False",NA,NA,NA,NA,"False",NA,NA,NA,NA,"False",NA,"N","False","False","False",NA,NA,"False",NA,"False"
"koyr1240","FALSE","True","False","False",NA,NA,"True","FALSE",NA,NA,NA,NA,"False","False","False",NA,NA,NA,NA,NA,"False","False","False",NA,NA,NA
"kuan1249","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,"False"
"kuka1246",NA,NA,"False","False",NA,NA,"False",NA,NA,NA,"False","False",NA,"False","False",NA,"FALSE","N","False",NA,NA,NA,NA,NA,NA,NA
"kumb1268","FALSE",NA,"False","False",NA,NA,"True",NA,NA,NA,"False","False",NA,"False","True",NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA
"kumy1244","TRUE",NA,NA,NA,NA,NA,"False","FALSE","M",NA,NA,NA,NA,NA,"False",NA,NA,"T",NA,NA,NA,NA,NA,NA,"False",NA
"kusu1250",NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,"True",NA,NA,"N",NA,NA,NA,NA,NA,NA,"False",NA
"kuuk1238",NA,NA,"False","False",NA,NA,"True",NA,NA,NA,"False","False",NA,"False","False",NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA
"kwat1244",NA,"False","False","False",NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA
"kwaz1243",NA,NA,"False",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"labi1245",NA,"True","False",NA,NA,"False","True",NA,NA,NA,NA,NA,NA,NA,"False","False","FALSE",NA,"False","False","False","True",NA,NA,NA,"False"
"lakk1252","FALSE","False","False","False","False","False","True","FALSE","N","FALSE","False","False","True","False","False","False","FALSE",NA,"False","False","False",NA,"False","False","False","False"
"lako1247",NA,"False","False",NA,NA,"False",NA,"FALSE","M","FALSE","False","False","False",NA,NA,"False","FALSE","N","False","False","False",NA,"False",NA,"False","True"
"lame1257",NA,"False","False",NA,NA,"False","True",NA,NA,"FALSE",NA,"False",NA,NA,"False","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"lamm1241",NA,NA,"False",NA,"False","False","False",NA,NA,"TRUE","False","False",NA,NA,"False","False","FALSE",NA,"False","False","True","True",NA,"False",NA,"True"
"lanp1241",NA,NA,NA,NA,NA,NA,"False","FALSE",NA,"FALSE","False",NA,NA,NA,"False",NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"larg1235",NA,NA,NA,NA,"False",NA,"True","FALSE",NA,"TRUE","True","False",NA,"False","False",NA,"FALSE","T","False",NA,"False","True",NA,"False",NA,NA
"lash1243",NA,NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"False",NA,"False",NA,NA,NA,NA,"False"
"lati1261","FALSE","False","False","False","False","False","True","FALSE",NA,"FALSE","False","False","True","False","True","False","FALSE","T","False","False","False",NA,"False","False",NA,"False"
"latv1249","TRUE","False","False","False","False","False","False","FALSE",NA,"FALSE","False","False","True","True","True","False","FALSE","T","False","False","False",NA,"False","False","True","False"
"lawu1238","FALSE","True","False","False","False","False","False","FALSE",NA,"TRUE","True","False",NA,"True","False","True","FALSE","N","False","True","False",NA,NA,NA,NA,"True"
"lega1249",NA,NA,NA,"False","False","False",NA,NA,"N",NA,NA,NA,NA,NA,NA,"False",NA,NA,"False","False","False",NA,NA,"False","False","False"
"lenc1242",NA,NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,"False",NA,NA,"M",NA,NA,NA,NA,NA,NA,NA,NA
"lian1251","FALSE","False","True","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False","False","True","FALSE","N","False","False",NA,NA,"False",NA,NA,"False"
"limi1243","FALSE","True",NA,"False","False","False","False","FALSE",NA,"FALSE","True","False","False",NA,"False","False","FALSE",NA,"False","False","False",NA,"False","False",NA,"False"
"lish1235","TRUE",NA,"False","False",NA,"True",NA,"FALSE",NA,NA,"True",NA,NA,NA,NA,NA,"FALSE","N","False",NA,"False",NA,NA,NA,NA,NA
"liuq1235",NA,NA,"False","False",NA,"False",NA,"FALSE",NA,NA,"True","False",NA,"False","True",NA,"FALSE","M",NA,NA,"False",NA,NA,NA,NA,"True"
"livv1243","TRUE","True","True","False","False","False","False","FALSE","M","FALSE","False","False","False","True","True","False","FALSE","T","False","False","False",NA,"False","False",NA,"False"
"livv1244","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"liwe1234","FALSE","False","False",NA,NA,"False","False","FALSE",NA,NA,"False",NA,NA,"False","False",NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,"False"
"lixi1238","FALSE","True","True","False","False","False","False","FALSE",NA,"FALSE","False","False",NA,"True","False","False","FALSE","N","False","False","False","False",NA,"False",NA,"False"
"lonw1238","TRUE",NA,NA,NA,NA,NA,"False","FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA,"N",NA,NA,NA,NA,NA,NA,NA,NA
"loth1237","FALSE","False","True","False","False","False","True","FALSE",NA,NA,"False","False","False","False","False","False","FALSE","N","False","False",NA,NA,"False","False","False","False"
"lowe1385","TRUE","False","False","False","False","False","True","FALSE",NA,"FALSE","False","False","True","True","True","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"lule1254","TRUE","False","False","False","False","False","False","FALSE","M","FALSE","False","False","False","True","False","True","FALSE","T","False","False","False",NA,"False","False",NA,"False"
"luop1235",NA,NA,NA,NA,"False",NA,"False","FALSE",NA,"FALSE","True","False",NA,"False","False",NA,"FALSE",NA,"False",NA,"False","True",NA,"False",NA,NA
"luqu1238",NA,NA,NA,NA,"False",NA,"False","FALSE",NA,NA,"True",NA,NA,NA,"False","False","FALSE","N","False","False","False",NA,NA,"False",NA,NA
"maas1239",NA,NA,NA,"False",NA,"False","False","FALSE",NA,NA,NA,NA,NA,"True","False",NA,"FALSE",NA,NA,NA,"False",NA,NA,NA,"False","False"
"maca1259","FALSE",NA,"False","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"macu1260","FALSE",NA,"True","False",NA,"False","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE",NA,"False","True",NA,NA,"False",NA,NA,"True"
"maer1238",NA,NA,NA,NA,NA,"False","False","FALSE",NA,"FALSE","False",NA,NA,"False","False","False","FALSE","N","False",NA,"False","False",NA,"False",NA,"False"
"mafa1239",NA,"False","False",NA,NA,"False","True",NA,NA,"TRUE",NA,"False",NA,NA,"True","False","FALSE",NA,"False","False","False","False",NA,NA,NA,"False"
"maia1254",NA,"True","False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,NA,NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"maib1239",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,"False","FALSE","N","False","False","True",NA,"False",NA,"True","True"
"mail1248",NA,"False","False",NA,NA,"False",NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","True",NA,"False",NA,NA,"False"
"maiw1251",NA,NA,NA,NA,NA,NA,"False",NA,"N",NA,NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"mala1464","TRUE","True","False","False","False","False",NA,"FALSE",NA,"FALSE","False","False","False","False",NA,"False","FALSE","N","False","False","False",NA,"False","False",NA,"False"
"mala1494",NA,NA,"False","False","False",NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,"False",NA,NA
"mala1522","TRUE",NA,"False","False",NA,"True","False","FALSE",NA,NA,"False","False","False","False",NA,"False","FALSE","M","False","False",NA,NA,"False",NA,NA,"False"
"male1291",NA,"True","False","True",NA,NA,"False",NA,NA,NA,NA,"False",NA,NA,"False",NA,"FALSE","N",NA,NA,NA,NA,NA,NA,NA,NA
"mali1284",NA,"True","True",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","True",NA,"False",NA,NA,"False"
"mana1288",NA,"False","True",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
"manc1252","TRUE","True","False","False","False","True","False","FALSE",NA,"FALSE","False","False","True","True","False","False","FALSE","T","False","False","False",NA,"False","False","False","False"
"mand1415","FALSE","True",NA,"False","False","False",NA,"FALSE",NA,"FALSE","False","False","False","False",NA,"True","FALSE","N","False","False","False",NA,"False","False","True","True"
"mand1436",NA,"False","False",NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,"False",NA,NA,NA,NA,NA,NA,NA,"False",NA,"False",NA,NA,NA
