"","rec_ma+lexibank_ArmAndHand+WALS_129A","o_lexibank_CommonSubstringInBoyAndGirl","o_lexibank_CommonSubstringInManAndWoman","o_lexibank_ElbowAndKnee","o_lexibank_EyeInTear","o_lexibank_BarkAndSkin","rec_c_lexibank_FatherWithP","rec_ma+lexibank_FingerAndHand+WALS_130A","rec_mca+lexibank_FirstPersonWithM+lexibank_FirstPersonWithN+WALS_136B","rec_ma+lexibank_GreenAndBlue+WALS_134A","o_lexibank_HairAndFeather","o_lexibank_HearAndSmell","o_lexibank_FingerAndToe","o_lexibank_LegAndFoot","rec_c_lexibank_MotherWithM","o_lexibank_MouthInLip","rec_ma+lexibank_RedAndYellow+WALS_135A","rec_mca+lexibank_SecondPersonWithM+lexibank_SecondPersonWithN+lexibank_SecondPersonWithT+WALS_137B","o_lexibank_SeeAndKnow","o_lexibank_SkinInLip","o_lexibank_ThreeInEight","o_lexibank_ThreeInThirteen","o_lexibank_ToeAndFoot","o_lexibank_WaterInTear","rec_c_lexibank_WindWithF","o_lexibank_TreeInBark"
"cent2128","FALSE","True","False",NA,"False",NA,"False","FALSE",NA,"TRUE","False","False","True","False","False","False","FALSE",NA,NA,NA,"False",NA,"False",NA,"False","False"
"cent2131","TRUE",NA,NA,NA,NA,NA,NA,"FALSE","N","TRUE",NA,NA,NA,NA,NA,NA,"TRUE","M",NA,NA,NA,NA,NA,NA,NA,NA
"cent2142","TRUE","False","False",NA,NA,"False",NA,"FALSE","N","FALSE","False","False","False",NA,NA,"False","FALSE",NA,"False","False","True",NA,"False",NA,"False","False"
"cent2150","FALSE",NA,"False","False",NA,"True","False","FALSE",NA,NA,"True","False","False","False",NA,"False","FALSE",NA,"True","True",NA,NA,"False",NA,NA,"False"
"chac1249","TRUE",NA,"False",NA,NA,NA,NA,"FALSE",NA,"TRUE","False","False","False",NA,NA,NA,"FALSE",NA,"False",NA,NA,NA,"False",NA,NA,NA
"chay1248","FALSE",NA,NA,NA,NA,NA,NA,"TRUE",NA,"TRUE",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,NA,"False",NA
"chep1245",NA,NA,"False",NA,NA,NA,NA,NA,NA,"FALSE",NA,NA,NA,NA,NA,NA,"FALSE","N","False",NA,"False","False",NA,NA,NA,"False"
"chew1245",NA,NA,"False","False","True","False","True","FALSE",NA,"FALSE","True","False","False",NA,"True","True","FALSE","M","False","True","False",NA,"False","True",NA,"False"
"chim1309","FALSE",NA,"False","True",NA,"False","False","FALSE","N",NA,"False","False","True","False",NA,"True","FALSE",NA,"False","False",NA,NA,"False",NA,NA,"False"
"chip1262",NA,"False","True",NA,NA,"False",NA,"FALSE",NA,"FALSE","False","False","True",NA,NA,"False","FALSE",NA,"False","False","False",NA,"False",NA,"False","False"
