"code_ID","new.name","value"
"GB134-?","GB134","?"
"GB134-0","GB134","0"
"GB134-1","GB134","1"
"GB135-?","GB135","?"
"GB135-0","GB135","0"
"GB135-1","GB135","1"
"GB136-?","GB136","?"
"GB136-1","GB136","1"
"GB136-0","GB136","0"
"GB137-?","GB137","?"
"GB137-1","GB137","1"
"GB137-0","GB137","0"
"GB138-1","GB138","1"
"GB138-0","GB138","0"
"GB138-?","GB138","?"
"GB139-0","GB139","0"
"GB139-1","GB139","1"
"GB139-?","GB139","?"
"GB140-1","GB140","1"
"GB140-0","GB140","0"
"GB140-?","GB140","?"
"GB146-?","GB146","?"
"GB146-0","GB146","0"
"GB146-1","GB146","1"
"GB147c-?","GB147c","?"
"GB147c-NA","GB147c","NA"
"GB147c-1","GB147c","1"
"GB147c-0","GB147c","0"
"GB148c-?","GB148c","?"
"GB148c-NA","GB148c","NA"
"GB148c-1","GB148c","1"
"GB148c-0","GB148c","0"
"GB149-?","GB149","?"
"GB149-0","GB149","0"
"GB149-1","GB149","1"
"GB150-?","GB150","?"
"GB150-0","GB150","0"
"GB150-1","GB150","1"
"GB151-?","GB151","?"
"GB151-0","GB151","0"
"GB151-1","GB151","1"
"GB152-?","GB152","?"
"GB152-1","GB152","1"
"GB152-0","GB152","0"
"GB155-?","GB155","?"
"GB155-0","GB155","0"
"GB155-1","GB155","1"
"GB156-?","GB156","?"
"GB156-0","GB156","0"
"GB156-1","GB156","1"
"GB158-?","GB158","?"
"GB158-1","GB158","1"
"GB158-0","GB158","0"
"GB159-?","GB159","?"
"GB159-1","GB159","1"
"GB159-0","GB159","0"
"GB167-0","GB167","0"
"GB167-?","GB167","?"
"GB167-1","GB167","1"
"GB177-?","GB177","?"
"GB177-0","GB177","0"
"GB177-1","GB177","1"
"GB192c-?","GB192c","?"
"GB192c-0","GB192c","0"
"GB192c-NA","GB192c","NA"
"GB192c-1","GB192c","1"
"GB193e-2","GB193e","2"
"GB193e-?","GB193e","?"
"GB193e-NA","GB193e","NA"
"GB193e-1","GB193e","1"
"GB196-0","GB196","0"
"GB196-?","GB196","?"
"GB196-1","GB196","1"
"GB197-0","GB197","0"
"GB197-?","GB197","?"
"GB197-1","GB197","1"
"GB198c-?","GB198c","?"
"GB198c-1","GB198c","1"
"GB198c-NA","GB198c","NA"
"GB198c-0","GB198c","0"
"GB203e-2","GB203e","2"
"GB203e-?","GB203e","?"
"GB203e-1","GB203e","1"
"GB203e-NA","GB203e","NA"
"GB204-0","GB204","0"
"GB204-?","GB204","?"
"GB204-1","GB204","1"
"GB250-?","GB250","?"
"GB250-1","GB250","1"
"GB250-0","GB250","0"
"GB251m-?","GB251m","?"
"GB251m-0","GB251m","0"
"GB251m-1","GB251m","1"
"GB252c-?","GB252c","?"
"GB252c-NA","GB252c","NA"
"GB252c-0","GB252c","0"
"GB252c-1","GB252c","1"
"GB253c-?","GB253c","?"
"GB253c-NA","GB253c","NA"
"GB253c-0","GB253c","0"
"GB253c-1","GB253c","1"
"GB254c-?","GB254c","?"
"GB254c-NA","GB254c","NA"
"GB254c-1","GB254c","1"
"GB254c-0","GB254c","0"
"GB256-?","GB256","?"
"GB256-0","GB256","0"
"GB256-1","GB256","1"
"GB257-0","GB257","0"
"GB257-?","GB257","?"
"GB257-1","GB257","1"
"GB260-0","GB260","0"
"GB260-?","GB260","?"
"GB260-1","GB260","1"
"GB262c-0","GB262c","0"
"GB262c-?","GB262c","?"
"GB262c-NA","GB262c","NA"
"GB262c-1","GB262c","1"
"GB263c-1","GB263c","1"
"GB263c-?","GB263c","?"
"GB263c-NA","GB263c","NA"
"GB263c-0","GB263c","0"
"GB264c-0","GB264c","0"
"GB264c-?","GB264c","?"
"GB264c-NA","GB264c","NA"
"GB264c-1","GB264c","1"
"GB265-1","GB265","1"
"GB265-?","GB265","?"
"GB265-0","GB265","0"
"GB266-?","GB266","?"
"GB266-1","GB266","1"
"GB266-0","GB266","0"
"GB270-?","GB270","?"
"GB270-0","GB270","0"
"GB270-1","GB270","1"
"GB273-0","GB273","0"
"GB273-?","GB273","?"
"GB273-1","GB273","1"
"GB275c-1","GB275c","1"
"GB275c-NA","GB275c","NA"
"GB275c-?","GB275c","?"
"GB275c-0","GB275c","0"
"GB276c-0","GB276c","0"
"GB276c-NA","GB276c","NA"
"GB276c-?","GB276c","?"
"GB276c-1","GB276c","1"
"GB285cc-NA","GB285cc","NA"
"GB285cc-?","GB285cc","?"
"GB285cc-0","GB285cc","0"
"GB285cc-1","GB285cc","1"
"GB286c-NA","GB286c","NA"
"GB286c-?","GB286c","?"
"GB286c-1","GB286c","1"
"GB286c-0","GB286c","0"
"GB291c-NA","GB291c","NA"
"GB291c-?","GB291c","?"
"GB291c-0","GB291c","0"
"GB291c-1","GB291c","1"
"GB296-?","GB296","?"
"GB296-1","GB296","1"
"GB296-0","GB296","0"
"GB297-0","GB297","0"
"GB297-?","GB297","?"
"GB297-1","GB297","1"
"GB298-0","GB298","0"
"GB298-?","GB298","?"
"GB298-1","GB298","1"
"GB299-1","GB299","1"
"GB299-?","GB299","?"
"GB299-0","GB299","0"
"GB300-?","GB300","?"
"GB300-0","GB300","0"
"GB300-1","GB300","1"
"GB301-?","GB301","?"
"GB301-0","GB301","0"
"GB301-1","GB301","1"
"GB302c-?","GB302c","?"
"GB302c-NA","GB302c","NA"
"GB302c-0","GB302c","0"
"GB302c-1","GB302c","1"
"GB303c-?","GB303c","?"
"GB303c-NA","GB303c","NA"
"GB303c-0","GB303c","0"
"GB303c-1","GB303c","1"
"GB304c-?","GB304c","?"
"GB304c-NA","GB304c","NA"
"GB304c-0","GB304c","0"
"GB304c-1","GB304c","1"
"GB309c-0","GB309c","0"
"GB309c-1","GB309c","1"
"GB309c-?","GB309c","?"
"GB309c-NA","GB309c","NA"
"GB313-1","GB313","1"
"GB313-?","GB313","?"
"GB313-0","GB313","0"
"GB321c-?","GB321c","?"
"GB321c-1","GB321c","1"
"GB321c-NA","GB321c","NA"
"GB321c-0","GB321c","0"
"GB322c-?","GB322c","?"
"GB322c-NA","GB322c","NA"
"GB322c-0","GB322c","0"
"GB322c-1","GB322c","1"
"GB323c-?","GB323c","?"
"GB323c-NA","GB323c","NA"
"GB323c-1","GB323c","1"
"GB323c-0","GB323c","0"
"GB324-?","GB324","?"
"GB324-0","GB324","0"
"GB324-1","GB324","1"
"GB325-?","GB325","?"
"GB325-1","GB325","1"
"GB325-0","GB325","0"
"GB326-1","GB326","1"
"GB326-0","GB326","0"
"GB326-?","GB326","?"
"GB327-?","GB327","?"
"GB327-1","GB327","1"
"GB327-0","GB327","0"
"GB328-?","GB328","?"
"GB328-0","GB328","0"
