"glottocode","name","isocodes","level","glottolog.macroarea","latitude","longitude","autotyp.continent","autotyp.area","comment","level1","level2","level3","level4","level5","level6","level7","level8","level9","level10","level11","level12","level13","level14","level15","level16","level17","level18","level19","level20","level21","level22","level23","level24","level25","level26","level27"
"aghe1239","Aghem","agq","language","Africa",6.38956,10.0807,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","bant1294","sout3152","wide1239","narr1282","ring1243","cent2385","west2835","aghe1240","aghe1241","aghe1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aghu1253","Aghul","agx","language","Eurasia",41.9242,47.5843,"W and SW Eurasia","Greater Mesopotamia",NA,"nakh1245","dagh1238","lezg1248","nucl1321","east2790","east2367","aghu1259","aghu1260","aghu1253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aghu1254","Aghu Tharnggalu","ggr","language","Australia",-13.735,142.426,"Australia","N Australia",NA,"pama1250","pama1251","alay1234","thay1250","aghu1254",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aghu1255","Aghu","ahh","language","Papunesia",-6.34674,140.043,"NG and Oceania","S New Guinea",NA,"nucl1709","cent2116","awyu1265","grea1275","awyu1263","awyu1264","mapp1234","aghu1255",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agua1252","Aguacateco","agu","language","North America",15.3307,-91.3153,"C America","Mesoamerica",NA,"maya1287","core1254","quic1274","grea1277","ixil1250","agua1252",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agua1253","Aguaruna","agr","language","South America",-5.30044,-77.9218,"S America","NE South America",NA,"jiva1245","agua1253",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"agwa1247","Agwagwune","yay","language","Africa",5.81055,8.03166,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","delt1251","uppe1418","cent2027","nort2790","ubag1244","kohu1243","agwa1247",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahan1243","Ahanta","aha","language","Africa",4.85147,-1.94657,"Africa","African Savannah",NA,"atla1278","volt1241","kwav1236","nyoa1234","poto1254","tano1248","cent2262","biaa1238","sout2779","ahan1243",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahan1244","Àhàn","ahn","language","Africa",7.44139,6.00896,"Africa","African Savannah",NA,"atla1278","volt1241","benu1247","defo1239","ayer1244","ahan1244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aheu1239","Thavung","thm","language","Eurasia",17.7655,104.229,"S/SE Asia","Southeast Asia",NA,"aust1305","viet1250","chut1252","aheu1239",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahom1240","Ahom","aho","language","Eurasia",27.2778,88.464,"S/SE Asia","Indic",NA,"taik1256","kamt1241","daic1238","daic1237","cent2251","wenm1239","sapa1255","sout3184","sout2743","shan1276","assa1264","ahom1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ahte1237","Ahtena","aht","language","North America",61.7068,-144.889,"W N America","Alaska-Oregon",NA,"atha1245","atha1246","atha1247","sout3337","ahte1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"aika1237","Aikanã","tba","language","South America",-12.6695,-60.5353,"S America","NE South America",NA,"aika1237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ainu1240","Hokkaido Ainu","ain","language","Eurasia",43.633654,142.46167,"N-C Asia","N Coast Asia",NA,"ainu1252","hokk1250","ainu1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
