"code_ID","new.name","value"
"GB563m-1","GB563m","1"
"GB563m-?","GB563m","?"
"GB563m-0","GB563m","0"
"GB104-?","GB104","?"
"GB104-0","GB104","0"
"GB104-1","GB104","1"
"GB302c-?","GB302c","?"
"GB302c-NA","GB302c","NA"
"GB302c-0","GB302c","0"
"GB302c-1","GB302c","1"
"GB853drm-1","GB853drm","1"
"GB853drm-0","GB853drm","0"
"GB853drm-?","GB853drm","?"
"GB177-?","GB177","?"
"GB177-0","GB177","0"
"GB177-1","GB177","1"
"GB991drmcC-1","GB991drmcC","1"
"GB991drmcC-NA","GB991drmcC","NA"
"GB991drmcC-?","GB991drmcC","?"
"GB991drmcC-0","GB991drmcC","0"
"GB990drmcC-0","GB990drmcC","0"
"GB990drmcC-NA","GB990drmcC","NA"
"GB990drmcC-?","GB990drmcC","?"
"GB990drmcC-1","GB990drmcC","1"
"GB051c-?","GB051c","?"
"GB051c-0","GB051c","0"
"GB051c-1","GB051c","1"
"GB051c-NA","GB051c","NA"
"GB052c-?","GB052c","?"
"GB052c-1","GB052c","1"
"GB052c-NA","GB052c","NA"
"GB052c-0","GB052c","0"
"GB053c-?","GB053c","?"
"GB053c-1","GB053c","1"
"GB053c-0","GB053c","0"
"GB053c-NA","GB053c","NA"
"GB054c-?","GB054c","?"
"GB054c-0","GB054c","0"
"GB054c-NA","GB054c","NA"
"GB054c-1","GB054c","1"
"GB192c-?","GB192c","?"
"GB192c-0","GB192c","0"
"GB192c-NA","GB192c","NA"
"GB192c-1","GB192c","1"
"GB703drmc-?","GB703drmc","?"
"GB703drmc-1","GB703drmc","1"
"GB703drmc-NA","GB703drmc","NA"
"GB703drmc-0","GB703drmc","0"
"GB321c-?","GB321c","?"
"GB321c-1","GB321c","1"
"GB321c-NA","GB321c","NA"
"GB321c-0","GB321c","0"
"GB624drmc-1","GB624drmc","1"
"GB624drmc-NA","GB624drmc","NA"
"GB624drmc-0","GB624drmc","0"
"GB624drmc-?","GB624drmc","?"
"GB623drmc-1","GB623drmc","1"
"GB623drmc-NA","GB623drmc","NA"
"GB623drmc-?","GB623drmc","?"
"GB623drmc-0","GB623drmc","0"
"GB431c-0","GB431c","0"
"GB431c-?","GB431c","?"
"GB431c-NA","GB431c","NA"
"GB431c-1","GB431c","1"
"GB433c-1","GB433c","1"
"GB433c-?","GB433c","?"
"GB433c-NA","GB433c","NA"
"GB433c-0","GB433c","0"
"GB430c-NA","GB430c","NA"
"GB430c-?","GB430c","?"
"GB430c-0","GB430c","0"
"GB430c-1","GB430c","1"
