"code_ID","short.name","value"
"TLI0615-FALSE","TLI0615","FALSE"
"TLI0616-FALSE","TLI0616","FALSE"
"TLI0616-?","TLI0616","?"
"TLI0616-TRUE","TLI0616","TRUE"
"TLI0617-FALSE","TLI0617","FALSE"
"TLI0617-?","TLI0617","?"
"TLI0617-TRUE","TLI0617","TRUE"
"TLI0621-TRUE","TLI0621","TRUE"
"TLI0621-?","TLI0621","?"
"TLI0621-FALSE","TLI0621","FALSE"
"TLI0624-FALSE","TLI0624","FALSE"
"TLI0624-?","TLI0624","?"
"TLI0624-TRUE","TLI0624","TRUE"
"TLI0629-TRUE","TLI0629","TRUE"
"TLI0629-?","TLI0629","?"
"TLI0629-FALSE","TLI0629","FALSE"
"TLI0630-FALSE","TLI0630","FALSE"
"TLI0630-?","TLI0630","?"
"TLI0630-TRUE","TLI0630","TRUE"
"TLI0631-TRUE","TLI0631","TRUE"
"TLI0631-?","TLI0631","?"
"TLI0631-FALSE","TLI0631","FALSE"
"TLI0635-FALSE","TLI0635","FALSE"
"TLI0635-?","TLI0635","?"
"TLI0635-TRUE","TLI0635","TRUE"
"TLI0636-FALSE","TLI0636","FALSE"
"TLI0636-?","TLI0636","?"
"TLI0636-TRUE","TLI0636","TRUE"
"TLI0640-FALSE","TLI0640","FALSE"
"TLI0640-?","TLI0640","?"
"TLI0640-TRUE","TLI0640","TRUE"
"TLI0642-FALSE","TLI0642","FALSE"
"TLI0642-?","TLI0642","?"
"TLI0642-TRUE","TLI0642","TRUE"
"TLI0654-?","TLI0654","?"
"TLI0654-Absent","TLI0654","Absent"
"TLI0654-Present","TLI0654","Present"
"TLI0668-?","TLI0668","?"
"TLI0668-'Have'","TLI0668","'Have'"
"TLI0668-Conjunctional","TLI0668","Conjunctional"
"TLI0668-Locational","TLI0668","Locational"
"TLI0668-Topic","TLI0668","Topic"
"TLI0668-Genitive","TLI0668","Genitive"
"TLI0670-?","TLI0670","?"
"TLI0670-Different","TLI0670","Different"
"TLI0670-Identical","TLI0670","Identical"
"TLI0672-?","TLI0672","?"
"TLI0672-Impossible","TLI0672","Impossible"
"TLI0672-Possible","TLI0672","Possible"
"TLI0673-?","TLI0673","?"
"TLI0673-Conjoined","TLI0673","Conjoined"
"TLI0673-Locational","TLI0673","Locational"
"TLI0673-Exceed","TLI0673","Exceed"
"TLI0673-Particle","TLI0673","Particle"
"TLI0674-?","TLI0674","?"
"TLI0674-Gap","TLI0674","Gap"
"TLI0674-Pronoun-retention","TLI0674","Pronoun-retention"
"TLI0674-Non-reduction","TLI0674","Non-reduction"
"TLI0674-Relative pronoun","TLI0674","Relative pronoun"
"TLI0682-?","TLI0682","?"
"TLI0682-Complex","TLI0682","Complex"
"TLI0682-Simple","TLI0682","Simple"
"TLI0682-Moderately complex","TLI0682","Moderately complex"
"TLI0738-?","TLI0738","?"
"TLI0738-Moderately small","TLI0738","Moderately small"
"TLI0738-Large","TLI0738","Large"
"TLI0738-Average","TLI0738","Average"
"TLI0738-Small","TLI0738","Small"
"TLI0738-Moderately large","TLI0738","Moderately large"
"TLI0751-?","TLI0751","?"
"TLI0751-Average (5-6)","TLI0751","Average (5-6)"
"TLI0751-Small (2-4)","TLI0751","Small (2-4)"
"TLI0751-Large (7-14)","TLI0751","Large (7-14)"
"TLI0766-?","TLI0766","?"
"TLI0766-Identical","TLI0766","Identical"
"TLI0766-Different stem","TLI0766","Different stem"
"TLI0766-Different inflection","TLI0766","Different inflection"
"TLI0771-?","TLI0771","?"
"TLI0771-Differentiated","TLI0771","Differentiated"
"TLI0771-Identical","TLI0771","Identical"
"TLI0790-?","TLI0790","?"
"TLI0790-'And' different from 'with'","TLI0790","'And' different from 'with'"
"TLI0790-'And' identical to 'with'","TLI0790","'And' identical to 'with'"
"TLI0792-?","TLI0792","?"
"TLI0792-No grammatical marking","TLI0792","No grammatical marking"
"TLI0792-Grammatical marking","TLI0792","Grammatical marking"
"TLI0801-?","TLI0801","?"
"TLI0801-Inflectional optative present","TLI0801","Inflectional optative present"
"TLI0801-Inflectional optative absent","TLI0801","Inflectional optative absent"
"TLI0804-?","TLI0804","?"
"TLI0804-Overlap for either possibility or necessity","TLI0804","Overlap for either possibility or necessity"
"TLI0804-No overlap","TLI0804","No overlap"
"TLI0804-Overlap for both possibility and necessity","TLI0804","Overlap for both possibility and necessity"
"TLI0839-?","TLI0839","?"
"TLI0839-TRUE","TLI0839","TRUE"
"TLI0839-FALSE","TLI0839","FALSE"
"TLI0840-?","TLI0840","?"
"TLI0840-TRUE","TLI0840","TRUE"
"TLI0840-NA","TLI0840","NA"
"TLI0840-FALSE","TLI0840","FALSE"
"TLI0841-?","TLI0841","?"
"TLI0841-FALSE","TLI0841","FALSE"
"TLI0841-TRUE","TLI0841","TRUE"
"TLI0842-?","TLI0842","?"
"TLI0842-FALSE","TLI0842","FALSE"
"TLI0842-NA","TLI0842","NA"
"TLI0842-TRUE","TLI0842","TRUE"
"TLI0843-?","TLI0843","?"
"TLI0843-no infixes in verb inflection and agreement","TLI0843","no infixes in verb inflection and agreement"
"TLI0843-infixes in verb inflection and agreement","TLI0843","infixes in verb inflection and agreement"
"TLI0844-?","TLI0844","?"
"TLI0844-split markers in verb inflection and agreement","TLI0844","split markers in verb inflection and agreement"
"TLI0844-no split markers in verb inflection and agreement","TLI0844","no split markers in verb inflection and agreement"
"TLI0845-?","TLI0845","?"
"TLI0845-9+","TLI0845","9+"
"TLI0845-0-2","TLI0845","0-2"
"TLI0845-3-8","TLI0845","3-8"
"TLI0846-?","TLI0846","?"
"TLI0846-many (9+)","TLI0846","many (9+)"
"TLI0846-1","TLI0846","1"
"TLI0846-some (3-8)","TLI0846","some (3-8)"
"TLI0846-2","TLI0846","2"
"TLI0847-?","TLI0847","?"
"TLI0847-FALSE","TLI0847","FALSE"
"TLI0847-TRUE","TLI0847","TRUE"
"TLI0848-?","TLI0848","?"
"TLI0848-2","TLI0848","2"
"TLI0848-3","TLI0848","3"
"TLI0848-4 or more","TLI0848","4 or more"
"TLI0848-none","TLI0848","none"
"TLI0849-?","TLI0849","?"
"TLI0849-no distinction","TLI0849","no distinction"
"TLI0849-distinction","TLI0849","distinction"
"TLI0849-pronouns avoided for politeness","TLI0849","pronouns avoided for politeness"
"TLI0850-?","TLI0850","?"
"TLI0850-formally similar","TLI0850","formally similar"
"TLI0850-formally different","TLI0850","formally different"
"TLI0852-?","TLI0852","?"
"TLI0852-Highly differentiated","TLI0852","Highly differentiated"
"TLI0852-Moderately differentiated","TLI0852","Moderately differentiated"
"TLI0852-Weakly differentiated","TLI0852","Weakly differentiated"
"TLI0853-?","TLI0853","?"
"TLI0853-yes, without marking","TLI0853","yes, without marking"
"TLI0853-yes, with marking","TLI0853","yes, with marking"
"TLI0853-no","TLI0853","no"
"TLI0855-?","TLI0855","?"
"TLI0855-verbal constructions possible","TLI0855","verbal constructions possible"
"TLI0855-verbal constructions not possible","TLI0855","verbal constructions not possible"
"TLI0856-?","TLI0856","?"
"TLI0856-FALSE","TLI0856","FALSE"
"TLI0856-TRUE","TLI0856","TRUE"
"TLI0857-?","TLI0857","?"
"TLI0857-FALSE","TLI0857","FALSE"
"TLI0857-TRUE","TLI0857","TRUE"
"TLI0858-?","TLI0858","?"
"TLI0858-NA","TLI0858","NA"
"TLI0858-absent","TLI0858","absent"
"TLI0858-present","TLI0858","present"
"TLI0859-?","TLI0859","?"
"TLI0859-affixes on verbs not possible","TLI0859","affixes on verbs not possible"
"TLI0859-NA","TLI0859","NA"
"TLI0859-affixes on verbs possible","TLI0859","affixes on verbs possible"
"TLI0860-?","TLI0860","?"
"TLI0860-vigesimal","TLI0860","vigesimal"
"TLI0860-decimal","TLI0860","decimal"
"TLI0860-restricted","TLI0860","restricted"
"TLI0860-extended body-part system","TLI0860","extended body-part system"
"TLI0861-NA","TLI0861","NA"
"TLI0861-?","TLI0861","?"
"TLI0861-circumverbal","TLI0861","circumverbal"
"TLI0861-morphemes on same side of verb","TLI0861","morphemes on same side of verb"
"TLI0861-with tone","TLI0861","with tone"
"TLI0865-?","TLI0865","?"
"TLI0865-NA","TLI0865","NA"
"TLI0865-XV","TLI0865","XV"
"TLI0865-VX","TLI0865","VX"
"TLI0866-?","TLI0866","?"
"TLI0866-NA","TLI0866","NA"
"TLI0866-postnominal","TLI0866","postnominal"
"TLI0866-prenominal","TLI0866","prenominal"
"TLI0866-circumnominal","TLI0866","circumnominal"
"TLI0866-adjoined","TLI0866","adjoined"
"TLI0867-?","TLI0867","?"
"TLI0867-initial","TLI0867","initial"
"TLI0867-final","TLI0867","final"
"TLI0867-NA","TLI0867","NA"
"TLI0867-internal","TLI0867","internal"
"TLI0868-?","TLI0868","?"
"TLI0868-NA","TLI0868","NA"
"TLI0868-false","TLI0868","false"
"TLI0868-true","TLI0868","true"
"TLI0871-?","TLI0871","?"
"TLI0871-true","TLI0871","true"
"TLI0871-NA","TLI0871","NA"
"TLI0871-false","TLI0871","false"
"TLI0872-?","TLI0872","?"
"TLI0872-NA","TLI0872","NA"
"TLI0872-excl-as-person","TLI0872","excl-as-person"
"TLI0872-plain-i/e","TLI0872","plain-i/e"
"TLI0872-min/aug","TLI0872","min/aug"
"TLI0873-?","TLI0873","?"
"TLI0873-NA","TLI0873","NA"
"TLI0873-true","TLI0873","true"
"TLI0873-false","TLI0873","false"
"TLI0874-?","TLI0874","?"
"TLI0874-true","TLI0874","true"
"TLI0874-NA","TLI0874","NA"
"TLI0874-false","TLI0874","false"
"TLI0875-?","TLI0875","?"
"TLI0875-true","TLI0875","true"
"TLI0875-NA","TLI0875","NA"
"TLI0875-false","TLI0875","false"
"TLI0877-?","TLI0877","?"
"TLI0877-prae","TLI0877","prae"
"TLI0877-NA","TLI0877","NA"
"TLI0877-post","TLI0877","post"
"TLI0877-split","TLI0877","split"
"TLI0877-in/simul","TLI0877","in/simul"
"TLI0878-?","TLI0878","?"
"TLI0878-NA","TLI0878","NA"
"TLI0878-prae","TLI0878","prae"
"TLI0878-post","TLI0878","post"
"TLI0878-split","TLI0878","split"
"TLI0878-in/simul","TLI0878","in/simul"
"TLI0879-?","TLI0879","?"
"TLI0879-true","TLI0879","true"
"TLI0879-NA","TLI0879","NA"
"TLI0879-false","TLI0879","false"
"TLI0880-?","TLI0880","?"
"TLI0880-false","TLI0880","false"
"TLI0880-NA","TLI0880","NA"
"TLI0880-true","TLI0880","true"
"TLI0881-?","TLI0881","?"
"TLI0881-false","TLI0881","false"
"TLI0881-NA","TLI0881","NA"
"TLI0881-true","TLI0881","true"
"TLI0882-?","TLI0882","?"
"TLI0882-false","TLI0882","false"
"TLI0882-NA","TLI0882","NA"
"TLI0882-true","TLI0882","true"
"TLI0884-?","TLI0884","?"
"TLI0884-false","TLI0884","false"
"TLI0884-NA","TLI0884","NA"
"TLI0884-true","TLI0884","true"
"TLI0885-?","TLI0885","?"
"TLI0885-false","TLI0885","false"
"TLI0885-NA","TLI0885","NA"
"TLI0885-true","TLI0885","true"
"TLI0886-?","TLI0886","?"
"TLI0886-false","TLI0886","false"
"TLI0886-NA","TLI0886","NA"
"TLI0886-true","TLI0886","true"
"TLI0887-?","TLI0887","?"
"TLI0887-false","TLI0887","false"
"TLI0887-NA","TLI0887","NA"
"TLI0887-true","TLI0887","true"
"TLI0888-?","TLI0888","?"
"TLI0888-False","TLI0888","False"
"TLI0888-NA","TLI0888","NA"
"TLI0888-True","TLI0888","True"
"TLI0889-?","TLI0889","?"
"TLI0889-separative","TLI0889","separative"
"TLI0889-NA","TLI0889","NA"
"TLI0889-cumulative","TLI0889","cumulative"
"TLI0889-distributive","TLI0889","distributive"
"TLI0890-true","TLI0890","true"
"TLI0890-?","TLI0890","?"
"TLI0890-false","TLI0890","false"
"TLI0890-NA","TLI0890","NA"
"TLI0891-?","TLI0891","?"
"TLI0891-False","TLI0891","False"
"TLI0891-True","TLI0891","True"
"TLI0891-NA","TLI0891","NA"
"TLI0892-?","TLI0892","?"
"TLI0892-False","TLI0892","False"
"TLI0892-True","TLI0892","True"
"TLI0892-NA","TLI0892","NA"
"TLI0893-?","TLI0893","?"
"TLI0893-False","TLI0893","False"
"TLI0893-NA","TLI0893","NA"
"TLI0893-True","TLI0893","True"
"TLI0894-TRUE","TLI0894","TRUE"
"TLI0894-?","TLI0894","?"
"TLI0894-FALSE","TLI0894","FALSE"
"TLI0894-NA","TLI0894","NA"
"TLI0895-TRUE","TLI0895","TRUE"
"TLI0895-?","TLI0895","?"
"TLI0895-FALSE","TLI0895","FALSE"
"TLI0895-NA","TLI0895","NA"
"TLI0896-TRUE","TLI0896","TRUE"
"TLI0896-?","TLI0896","?"
"TLI0896-FALSE","TLI0896","FALSE"
"TLI0896-NA","TLI0896","NA"
"TLI0898-?","TLI0898","?"
"TLI0898-Both the A and P arguments","TLI0898","Both the A and P arguments"
"TLI0898-NA","TLI0898","NA"
"TLI0898-Only the P argument","TLI0898","Only the P argument"
"TLI0898-Only the A argument","TLI0898","Only the A argument"
"TLI0898-A or P argument","TLI0898","A or P argument"
"TLI0899-?","TLI0899","?"
"TLI0899-syncretic","TLI0899","syncretic"
"TLI0899-not syncretic","TLI0899","not syncretic"
"TLI0899-NA","TLI0899","NA"
"TLI0900-?","TLI0900","?"
"TLI0900-NA","TLI0900","NA"
"TLI0900-TRUE","TLI0900","TRUE"
"TLI0900-FALSE","TLI0900","FALSE"
"TLI0901-?","TLI0901","?"
"TLI0901-NA","TLI0901","NA"
"TLI0901-semantic and formal","TLI0901","semantic and formal"
"TLI0901-semantic","TLI0901","semantic"
"TLI0902-?","TLI0902","?"
"TLI0902-NA","TLI0902","NA"
"TLI0902-Inflectional future exists","TLI0902","Inflectional future exists"
"TLI0902-No inflectional future","TLI0902","No inflectional future"
"TLI0903-?","TLI0903","?"
"TLI0903-NA","TLI0903","NA"
"TLI0903-1","TLI0903","1"
"TLI0903-2 or more","TLI0903","2 or more"
"TLI0904-?","TLI0904","?"
"TLI0904-NA","TLI0904","NA"
"TLI0904-1","TLI0904","1"
"TLI0904-2","TLI0904","2"
"TLI0904-3 or more","TLI0904","3 or more"
"TLI0905-?","TLI0905","?"
"TLI0905-NA","TLI0905","NA"
"TLI0905-large (6-9 cases)","TLI0905","large (6-9 cases)"
"TLI0905-small (2-3 cases)","TLI0905","small (2-3 cases)"
"TLI0905-very large (10 or more)","TLI0905","very large (10 or more)"
"TLI0905-mid (4-5 cases)","TLI0905","mid (4-5 cases)"
"TLI0906-?","TLI0906","?"
"TLI0906-NA","TLI0906","NA"
"TLI0906-symmetrical","TLI0906","symmetrical"
"TLI0906-asymmetrical","TLI0906","asymmetrical"
"TLI0906-syncretism","TLI0906","syncretism"
"TLI0907-?","TLI0907","?"
"TLI0907-NA","TLI0907","NA"
"TLI0907-TRUE","TLI0907","TRUE"
"TLI0907-FALSE","TLI0907","FALSE"
"TLI0908-false","TLI0908","false"
"TLI0908-?","TLI0908","?"
"TLI0908-NA","TLI0908","NA"
"TLI0908-true","TLI0908","true"
"TLI0909-?","TLI0909","?"
"TLI0909-true","TLI0909","true"
"TLI0909-NA","TLI0909","NA"
"TLI0909-false","TLI0909","false"
"TLI0910-?","TLI0910","?"
"TLI0910-false","TLI0910","false"
"TLI0910-NA","TLI0910","NA"
"TLI0910-true","TLI0910","true"
"TLI0911-?","TLI0911","?"
"TLI0911-true","TLI0911","true"
"TLI0911-NA","TLI0911","NA"
"TLI0911-false","TLI0911","false"
"TLI0912-?","TLI0912","?"
"TLI0912-NA","TLI0912","NA"
"TLI0912-true","TLI0912","true"
"TLI0912-false","TLI0912","false"
"TLI0913-NA","TLI0913","NA"
"TLI0913-?","TLI0913","?"
"TLI0913-FALSE","TLI0913","FALSE"
"TLI0913-TRUE","TLI0913","TRUE"
"TLI0914-NA","TLI0914","NA"
"TLI0914-?","TLI0914","?"
"TLI0914-FALSE","TLI0914","FALSE"
"TLI0914-TRUE","TLI0914","TRUE"
"TLI0915-?","TLI0915","?"
"TLI0915-NA","TLI0915","NA"
"TLI0915-Other perfect","TLI0915","Other perfect"
"TLI0915-From 'finish', 'already'","TLI0915","From 'finish', 'already'"
"TLI0915-From possessive","TLI0915","From possessive"
"TLI0916-?","TLI0916","?"
"TLI0916-false","TLI0916","false"
"TLI0916-NA","TLI0916","NA"
"TLI0916-true","TLI0916","true"
"TLI0917-?","TLI0917","?"
"TLI0917-NA","TLI0917","NA"
"TLI0917-false","TLI0917","false"
"TLI0917-true","TLI0917","true"
"TLI0918-?","TLI0918","?"
"TLI0918-NA","TLI0918","NA"
"TLI0918-false","TLI0918","false"
"TLI0918-true","TLI0918","true"
"TLI0919-?","TLI0919","?"
"TLI0919-NA","TLI0919","NA"
"TLI0919-false","TLI0919","false"
"TLI0919-true","TLI0919","true"
"TLI0920-?","TLI0920","?"
"TLI0920-NA","TLI0920","NA"
"TLI0920-true","TLI0920","true"
"TLI0920-false","TLI0920","false"
"TLI0921-S=Atr≠P (accusative)","TLI0921","S=Atr≠P (accusative)"
"TLI0921-?","TLI0921","?"
"TLI0921-S=Atr=P (neutral)","TLI0921","S=Atr=P (neutral)"
"TLI0921-NA","TLI0921","NA"
"TLI0921-S=P≠Atr (ergative)","TLI0921","S=P≠Atr (ergative)"
"TLI0923-?","TLI0923","?"
"TLI0923-P=T=G","TLI0923","P=T=G"
"TLI0923-P=T≠G","TLI0923","P=T≠G"
"TLI0923-NA","TLI0923","NA"
"TLI0923-P=G≠T","TLI0923","P=G≠T"
"TLI0924-?","TLI0924","?"
"TLI0924-A precedes P","TLI0924","A precedes P"
"TLI0924-P precedes A","TLI0924","P precedes A"
"TLI0924-NA","TLI0924","NA"
"TLI0924-A and P are fused","TLI0924","A and P are fused"
"TLI0925-interrogative verb morphology","TLI0925","interrogative verb morphology"
"TLI0925-?","TLI0925","?"
"TLI0925-question particle","TLI0925","question particle"
"TLI0925-intonation only","TLI0925","intonation only"
"TLI0925-interrogative word order","TLI0925","interrogative word order"
"TLI0925-absence of declarative morphemes","TLI0925","absence of declarative morphemes"
"TLI0925-NA","TLI0925","NA"
"TLI0928-noun-num","TLI0928","noun-num"
