"","data","coding.density","nr.languages","nr.families","nr.variables","coding.density.improvement","proportion.languages","proportion.families","proportion.variables"
"1","full",0.582562778197699,2430,316,196,NA,NA,NA,NA
"2","densified",0.828987324211424,1361,249,143,1.423,0.56,0.788,0.73
