"","glottocode","TLI0549","TLI0552","TLI0559","TLI0560","TLI0570","TLI0578","TLI0580","TLI0582","TLI0589","TLI0592","TLI0596","TLI0597","TLI0598","TLI0604","TLI0860","TLI0891","TLI0892","TLI0893","TLI0958","TLI0959","TLI1044","TLI1083","TLI1099","TLI1100","TLI1101","TLI1102","TLI1112"
"52","ainu1240","True","False","?","?","False","?","?","False","False","False","False","?","False","?","vigesimal","?","?","False","FALSE","TRUE",NA,"?","TRUE","FALSE","TRUE","FALSE","?"
"76","alab1237","False","False","?","?","False","False","?","False","False","False","True","?","False","?","decimal","?","?","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","Neither"
"81","alam1246","?","?","?","?","?","?","?","?","?","?","?","?","?","?","vigesimal","False","True","False","TRUE","?","first, two-th, three-th","?","?","?","?","?","?"
"83","alba1267","False","False","False","False","False","False","True","False","False","False","False","?","False","False","?","False","False","?","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"86","aleu1260","False","False","False","False","False","False","False","False","False","False","False","?","False","True","?","False","False","False","TRUE","TRUE","first, two-th, three-th","?","FALSE","FALSE","FALSE","FALSE","BarkAndSkin"
"94","aluo1235","True","True","False","False","True","?","?","False","False","False","False","?","?","False","?","False","False","?","?","?","?","?","FALSE","FALSE","?","FALSE","?"
"96","alya1239","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"?","?","?","?","FALSE","TRUE","?","FALSE","?"
"97","amai1246","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"98","amap1240","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"101","amar1274","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","False","?","?","?","?","FALSE","FALSE","TRUE","FALSE","Neither"
"105","amba1269","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"116","anam1247","True","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","True","?","?","?","?","?","?","?","?","FALSE","?"
"128","anga1288","True","True","False","False","False","False","True","False","False","False","?","?","False","True","?","False","False","False","?","TRUE","?","?","FALSE","FALSE","?","FALSE","Neither"
"129","anga1290","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","?","FALSE","FALSE","?"
"132","ango1255","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"146","anya1244","?","?","?","?","False","?","False","?","False","?","False","?","?","?","?","True","False","?","?","?","?","?","FALSE","?","?","FALSE","TreeInBark"
"149","aona1235","False","True","False","False","False","False","True","True","False","False","?","?","False","True","?","False","False","False","?","?","?","?","FALSE","FALSE","?","FALSE","Neither"
"151","apal1256","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"154","apin1244","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?",NA,"?","?","?","?","?","FALSE","FALSE","TRUE","FALSE","?"
"156","apma1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","False","?","?","?","?","?","?","?","?","?","?"
"159","arab1267","?","False","False","?","False","False","False","?","False","?","?","?","?","?","?","False","False",NA,"FALSE","?",NA,"?","?","?","?","FALSE","?"
"160","arab1268","False","False","?","?","False","False","?","True","False","False","?","?","True","?","?","?","?","False","?","?","?","?","?","TRUE","TRUE","FALSE","TreeInBark"
"164","aran1237","True","False","?","?","False","?","?","False","?","False","?","?","?","?","?","?","?","False","?","?","?","?","?","?","?","?","BarkAndSkin"
"165","arap1274","False","False","?","?","False","False","?","False","False","False","True","?","False","?","?","?","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","Neither"
"171","arch1244","True","False","False","False","False","False","True","False","False","False","False","?","False","False","decimal","False","False","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"177","arik1262","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"198","asun1235","True","True","False","?","?","?","False","?","?","?","False","True","False","?","?","False","False","?","?","?","?","?","FALSE","FALSE","?","?","?"
"201","atak1252","False","False","?","?","False","False","?","False","False","False","False","?","False","?","?","?","?","?","?","?","?","?","FALSE","TRUE","FALSE","FALSE","BarkAndSkin"
"205","atem1241","False","False","False","False","?","False","?","?","?","?","?","?","?","False","?","False","False","?","?","?","?","?","?","?","?","FALSE","?"
"210","atsu1245","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"216","avar1256","False","False","False","?","False","False","False","False","False","False","False","?","False","False","?","False","False","False","TRUE","?","one-th, two-th, three-th","logical meanings","FALSE","FALSE","FALSE","FALSE","Neither"
"234","awyi1241","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","False","True","?","?","?","?","?","?","?","?","?","?"
"236","axiy1235","?","False","?","False","False","?","False","False","False","False","False","True","?","True","?","False","False","False","?","?","?","?","FALSE","FALSE","FALSE","FALSE","Neither"
"242","ayom1234","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","?","FALSE","FALSE","?","?","?"
"243","ayor1240","True","True","?","?","False","False","?","False","True","False","False","?","False","?","?","?","?","False","?","?","?","?","?","FALSE","FALSE","FALSE","Neither"
"246","azha1235","False","True","False","False","?","?","False","False","?","False","False","?","False","True","?","False","False","?","?","?","?","?","TRUE","?","FALSE","FALSE","Neither"
"249","baat1238","False","False","False","?","?","?","False","?","?","?","True","True","False","?","?","True","True","?","?","?","?","?","FALSE","FALSE","?","?","?"
"254","baca1246","False","False","?","?","?","False","?","True","False","False","False","False","?","?","?","True","False","?","?","?","?","?","?","?","?","FALSE","Neither"
"256","bade1248","False","False","?","?","?","False","?","True","False","False","False","True","?","?","?","False","?","?","?","?","?","?","?","?","?","?","Neither"
"270","bagi1246","?","?","?","?","?","?","?","?","?","?","?","?","?","?","decimal","True","False","?","?","?","?","?","?","?","?","?","?"
