"","glottocode","TLI0606","TLI0607","TLI0608","TLI0612","TLI0613","TLI0615","TLI0616","TLI0617","TLI0621","TLI0624","TLI0626","TLI0629","TLI0630","TLI0631","TLI0635","TLI0636","TLI0640","TLI0642","TLI0682","TLI0738","TLI0751","TLI0896","TLI0897","TLI0913","TLI0914","TLI0948","TLI0949","TLI0955","TLI0976","TLI0977","TLI0984","TLI1014","TLI1049","TLI1051","TLI1052","TLI1053","TLI1054","TLI1055","TLI1060","TLI1061","TLI1065","TLI1066","TLI1070","TLI1071","TLI1072","TLI1073","TLI1074","TLI1075","TLI1090","TLI1103","TLI1104","TLI1106"
"36","afit1238","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"37","afri1274","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","?","?","?","TRUE",NA,NA,NA,"?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","?"
"39","aghe1239","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","Moderately complex","Average","Large (7-14)","TRUE",NA,"FALSE","FALSE","?","?","TRUE","TRUE","FALSE","simple","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"46","ahan1243","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","?"
"47","ahan1244","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","?"
"48","aheu1239","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","?","?","?","TRUE",NA,"FALSE","FALSE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"50","ahte1237","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Complex","Moderately large","Average (5-6)","TRUE","FALSE","FALSE",NA,"?","?","FALSE","?","?",NA,"TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","?"
"51","aika1237","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Moderately complex","Average","Average (5-6)","TRUE",NA,NA,"FALSE","?","?","TRUE","FALSE","FALSE","simple","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","?"
"52","ainu1240","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Moderately complex","Small","Average (5-6)","TRUE",NA,NA,NA,"?","?","FALSE","?","?","simple","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","?"
"54","ajab1235","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","?","?","?","TRUE","FALSE",NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","?"
"55","ajas1235","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"61","akan1250","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","Moderately complex","Average","Large (7-14)","TRUE",NA,NA,"FALSE","?","?","TRUE","FALSE","FALSE","simple","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","?"
"62","akas1242","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","?"
"63","akaw1239","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","Moderately complex","Small","Large (7-14)","TRUE",NA,NA,NA,"?","?","TRUE","FALSE","FALSE",NA,"TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","?"
"68","akla1241","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","?","?","?","TRUE",NA,NA,NA,"FALSE","TRUE","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","right-leaning"
"70","akoo1248","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"72","akpe1248","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","?","?","?","TRUE",NA,NA,NA,"?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","?"
"76","alab1237","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","?","Small","Small (2-4)","TRUE",NA,NA,NA,"?","?","TRUE","?","?",NA,"FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","?"
"77","alab1254","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","?"
"81","alam1246","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","Complex","Moderately small","Large (7-14)","TRUE",NA,"FALSE",NA,"FALSE","?","TRUE","FALSE","FALSE",NA,"FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","?"
