"","glottocode","TLI0606","TLI0607","TLI0608","TLI0612","TLI0613","TLI0615","TLI0616","TLI0617","TLI0621","TLI0624","TLI0626","TLI0629","TLI0630","TLI0631","TLI0635","TLI0636","TLI0640","TLI0642","TLI0682","TLI0738","TLI0751","TLI0896","TLI0897","TLI0913","TLI0914","TLI0948","TLI0949","TLI0955","TLI0976","TLI0977","TLI0984","TLI1014","TLI1049","TLI1051","TLI1052","TLI1053","TLI1054","TLI1055","TLI1060","TLI1061","TLI1065","TLI1066","TLI1070","TLI1071","TLI1072","TLI1073","TLI1074","TLI1075","TLI1090","TLI1103","TLI1104","TLI1106"
"20","ache1245","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"21","ache1246","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","Simple","Small","Average (5-6)","TRUE",NA,NA,NA,"?","?","FALSE","?","?",NA,"FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,"FALSE","TRUE","FALSE","FALSE","?"
"23","achu1247","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","?","Moderately small","Average (5-6)","TRUE","FALSE",NA,NA,"?","?","FALSE","?","?","simple","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","?"
"26","adam1253","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","?","TRUE","FALSE",NA,"FALSE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","?"
"27","adan1247","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","?"
"28","adan1251","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"29","adio1239","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","?","?","?","TRUE",NA,NA,"FALSE","?","?","?","?","?","?","?","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","FALSE","TRUE","FALSE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"31","adny1235","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","?","?","?","FALSE",NA,NA,"TRUE","?","?","?","?","?",NA,"?","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",NA,NA,NA,"TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","?"
"32","adze1240","TRUE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","?","Moderately small","Small (2-4)","TRUE",NA,"FALSE",NA,"?","?","TRUE","FALSE","FALSE",NA,"FALSE","FALSE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,NA,"TRUE","FALSE","FALSE","FALSE","?"
"35","afad1236","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","Complex","Moderately large","Large (7-14)","TRUE",NA,NA,NA,"?","?","TRUE","FALSE","FALSE","simple","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","?"
