"","ID","Name","Macroarea","Latitude","Longitude","Glottocode","ISO639P3code","Family","Subfamily","Genus","GenusIcon","ISO_codes","Samples_100","Samples_200","Country_ID","Source","Parent_ID"
"2066","ses","Sesotho","Africa",-28,27,"sout2807","sot","Niger-Congo","Benue-Congo","Bantu","","sot","false","false","LS ZA","Dahl-1985 Demuth-and-Machobane-2001 Guma-1971 Jacottet-1927 Malherbe-and-Rosenberg-1996 Paroz-1946","genus-bantu"
"2067","sey","Seychelles Creole","Eurasia",-4.75,55.5,"sese1246","crs","other","","Creoles and Pidgins","","crs","false","false","SC","Bollee-1977","genus-creolesandpidgins"
"2068","sgb","Sougb","Papunesia",-1.5,134,"mani1235","mnx","East Bird's Head","","East Bird's Head","","mnx","false","false","ID","Reesink-2002","genus-eastbirdshead"
"2069","sge","Songe","Africa",-6.83333333333,22,"song1303","sop","Niger-Congo","Benue-Congo","Bantu","","sop","false","false","CD","Samain-1923","genus-bantu"
"2070","sgl","Sengele","Africa",-1.83333333333,17.3333333333,"seng1278","szg","Niger-Congo","Benue-Congo","Bantu","","szg","false","false","CD","Mangulu-2001","genus-bantu"
"2071","sgr","Sangir","Papunesia",3.5,125.5,"sang1336","sxn","Austronesian","","Sangiric","","sxn","false","false","ID","Adriani-1893 Sneddon-1984","genus-sangiric"
"2072","sgs","Songish","North America",48.45,-123.333333333,"stra1244","str","Salishan","","Central Salish","","str","false","false","CA","Thompson-et-al-1974","genus-centralsalish"
"2073","sgu","Sangu","Africa",-1.5,11.8333333333,"sang1333","snq","Niger-Congo","Benue-Congo","Bantu","","snq","false","false","GA","Idiata-1998","genus-bantu"
"2074","sha","Shan","Eurasia",22,98,"shan1277","shn","Tai-Kadai","","Kam-Tai","","shn","false","false","MM","Chan-1980 Chao-1951 Cheng-1973b Cushing-1888","genus-kamtai"
"2075","shb","Shabo","Africa",7.58333333333,35.4166666667,"shab1252","sbf","Shabo","","Shabo","","sbf","false","false","ET","Teferra-1991 Teferra-and-Unseth-1989","genus-shabo"
"2076","shd","Sherdukpen","Eurasia",27,92.5,"sher1257","sdp","Sino-Tibetan","Tibeto-Burman","Kho-Bwa","","sdp","false","false","IN","Dondrup-1988","genus-khobwa"
"2077","she","Sherpa","Eurasia",27.75,86.8333333333,"sher1255","xsr","Sino-Tibetan","Tibeto-Burman","Bodic","","xsr","false","false","NP","Schottelndreyer-and-Schottelndreyer-1973 Woodbury-1986","genus-bodic"
"2078","shh","Sharanahua","South America",-11,-70,"shar1245","mcd","Pano-Tacanan","","Panoan","","mcd","false","false","BR PE","Scott-and-Frantz-1974","genus-panoan"
"2079","shi","Shiriana","South America",3.5,-62.8333333333,"nina1238","shb","Yanomam","","Yanomam","","shb","false","false","BR VR","Borgman-and-Cue-1963 Gomez-1990 Migliazza-and-Grimes-1961","genus-yanomam"
"2080","shk","Shipibo-Konibo","South America",-7.5,-75,"ship1254","shp","Pano-Tacanan","","Panoan","","shp","false","true","PE","Davila-Rengifo-and-Picon-Panduro-1973 Faust-1973 Loriot-et-al-1993 Tessmann-1929 Valenzuela-1997 Valenzuela-2002 Valenzuela-2003 Valenzuela-et-al-2001 Weisshar-and-Illius-1990 Wise-1978","genus-panoan"
"2081","shl","Shilluk","Africa",9.66666666667,31.75,"shil1265","shk","Eastern Sudanic","Nilotic","Western Nilotic","","shk","false","false","SS","Kohnen-1933 Westermann-1912 Westermann-1974","genus-westernnilotic"
"2082","shm","Shambala","Africa",-4.25,38.25,"sham1280","ksb","Niger-Congo","Benue-Congo","Bantu","","ksb","false","false","TZ","Besha-1993","genus-bantu"
"2083","shn","Shona","Africa",-18,31,"shon1251","sna","Niger-Congo","Benue-Congo","Bantu","","sna","false","false","ZW","Brauner-1993 Brauner-1995 Fortune-1955 Fortune-1981","genus-bantu"
"2084","sho","Shoshone","North America",41,-114,"shos1248","shh","Uto-Aztecan","","Northern Uto-Aztecan","","shh","false","false","US","Crapo-1976 Langacker-1976 Miller-1972 Miller-1996b","genus-northernutoaztecan"
"2085","shp","Klikitat","North America",46.5,-120,"yaki1237","yak","Penutian","","Sahaptian","","yak","false","false","US","Jacobs-1929 Jacobs-1931","genus-sahaptian"
"2086","shr","Shor","Eurasia",53,88,"shor1247","cjs","Altaic","","Turkic","","cjs","false","false","RU","Babushkin-and-Donidze-1966 Donidze-1997 Dyrenkova-1941","genus-turkic"
"2087","shs","Shasta","North America",41.8333333333,-122.666666667,"shas1239","sht","Hokan","","Shasta","","sht","false","false","US","Nichols-1992 Powell-1877 Silver-1964 Silver-1966 Silver-and-Wicks-1977","genus-shasta"
"2088","sht","Shatt","Africa",10.8333333333,30,"shat1244","shj","Eastern Sudanic","","Daju","","shj","false","false","SD","Tucker-and-Bryan-1966","genus-daju"
"2089","shu","Shuswap","North America",52,-120,"shus1248","shs","Salishan","","Interior Salish","","shs","false","false","CA","Bell-1982 Bybee-et-al-1994 Kuipers-1974 Kuipers-1975","genus-interiorsalish"
"2090","shw","Shawnee","North America",40,-83,"shaw1249","sjw","Algic","","Algonquian","","sjw","false","false","US","Voegelin-1938-1940 Yegerlehner-and-Voegelin-1957","genus-algonquian"
"2091","shy","Shira Yughur","Eurasia",38,99,"east2337","yuy","Altaic","","Mongolic","","yuy","false","false","CN","Nugteren-2003","genus-mongolic"
