"","ID","Name","Description","ColumnSpec","Chapter_ID"
"114","101A","Expression of Pronominal Subjects",NA,NA,101
"115","102A","Verbal Person Marking",NA,NA,102
"116","103A","Third Person Zero of Verbal Person Marking",NA,NA,103
"117","104A","Order of Person Markers on the Verb",NA,NA,104
"118","105A","Ditransitive Constructions: The Verb 'Give'",NA,NA,105
"119","106A","Reciprocal Constructions",NA,NA,106
"120","107A","Passive Constructions",NA,NA,107
"121","108A","Antipassive Constructions",NA,NA,108
"122","108B","Productivity of the Antipassive Construction",NA,NA,108
"123","109A","Applicative Constructions",NA,NA,109
"124","109B","Other Roles of Applied Objects",NA,NA,109
"125","110A","Periphrastic Causative Constructions",NA,NA,110
"126","111A","Nonperiphrastic Causative Constructions",NA,NA,111
"127","112A","Negative Morphemes",NA,NA,112
"128","113A","Symmetric and Asymmetric Standard Negation",NA,NA,113
"129","114A","Subtypes of Asymmetric Standard Negation",NA,NA,114
"130","115A","Negative Indefinite Pronouns and Predicate Negation",NA,NA,115
"131","116A","Polar Questions",NA,NA,116
"132","117A","Predicative Possession",NA,NA,117
"133","118A","Predicative Adjectives",NA,NA,118
"134","119A","Nominal and Locational Predication",NA,NA,119
"135","120A","Zero Copula for Predicate Nominals",NA,NA,120
"136","121A","Comparative Constructions",NA,NA,121
"137","122A","Relativization on Subjects",NA,NA,122
"138","123A","Relativization on Obliques",NA,NA,123
"139","124A","'Want' Complement Subjects",NA,NA,124
"140","125A","Purpose Clauses",NA,NA,125
"141","126A","'When' Clauses",NA,NA,126
"142","127A","Reason Clauses",NA,NA,127
"143","128A","Utterance Complement Clauses",NA,NA,128
"144","129A","Hand and Arm",NA,NA,129
"145","130A","Finger and Hand",NA,NA,130
"146","130B","Cultural Categories of Languages with Identity of 'Finger' and 'Hand'",NA,NA,130
"147","131A","Numeral Bases",NA,NA,131
"148","132A","Number of Non-Derived Basic Colour Categories",NA,NA,132
"149","133A","Number of Basic Colour Categories",NA,NA,133
"150","134A","Green and Blue",NA,NA,134
"151","135A","Red and Yellow",NA,NA,135
"152","136A","M-T Pronouns",NA,NA,136
"153","136B","M in First Person Singular",NA,NA,136
"154","137A","N-M Pronouns",NA,NA,137
"155","137B","M in Second Person Singular",NA,NA,137
"156","138A","Tea",NA,NA,138
"157","139A","Irregular Negatives in Sign Languages",NA,NA,139
"158","140A","Question Particles in Sign Languages",NA,NA,140
"159","141A","Writing Systems",NA,NA,141
"160","142A","Para-Linguistic Usages of Clicks",NA,NA,142
"161","143A","Order of Negative Morpheme and Verb",NA,NA,143
"162","143B","Obligatory Double Negation",NA,NA,143
"163","143C","Optional Double Negation",NA,NA,143
"164","143D","Optional Triple Negation",NA,NA,143
"165","143E","Preverbal Negative Morphemes",NA,NA,143
"166","143F","Postverbal Negative Morphemes",NA,NA,143
"167","143G","Minor morphological means of signaling negation",NA,NA,143
"168","144A","Position of Negative Word With Respect to Subject, Object, and Verb",NA,NA,144
"169","144B","Position of negative words relative to beginning and end of clause and with respect to adjacency to verb",NA,NA,144
"170","144C","Languages with different word order in negative clauses",NA,NA,144
"171","144D","The Position of Negative Morphemes in SVO Languages",NA,NA,144
