"code_ID","new.name","value"
"GB122-1","GB122","1"
"GB122-0","GB122","0"
"GB123-?","GB123","?"
"GB123-0","GB123","0"
"GB123-1","GB123","1"
"GB124-1","GB124","1"
"GB124-0","GB124","0"
"GB124-?","GB124","?"
"GB126-?","GB126","?"
"GB126-0","GB126","0"
"GB126-1","GB126","1"
"GB127-?","GB127","?"
"GB127-0","GB127","0"
"GB127-1","GB127","1"
"GB129-?","GB129","?"
"GB129-0","GB129","0"
"GB129-1","GB129","1"
"GB130e-1","GB130e","1"
"GB130e-2","GB130e","2"
"GB130e-?","GB130e","?"
"GB130e-NA","GB130e","NA"
"GB131-0","GB131","0"
"GB131-1","GB131","1"
"GB131-?","GB131","?"
"GB132-0","GB132","0"
"GB132-1","GB132","1"
"GB132-?","GB132","?"
"GB133C-1","GB133C","1"
"GB133C-0","GB133C","0"
"GB133C-N/A","GB133C","N/A"
"GB133C-?","GB133C","?"
"GB134-?","GB134","?"
"GB134-0","GB134","0"
"GB134-1","GB134","1"
"GB135-?","GB135","?"
"GB135-0","GB135","0"
"GB135-1","GB135","1"
"GB136-?","GB136","?"
"GB136-1","GB136","1"
"GB136-0","GB136","0"
"GB137-?","GB137","?"
"GB137-1","GB137","1"
"GB137-0","GB137","0"
"GB138-1","GB138","1"
"GB138-0","GB138","0"
"GB138-?","GB138","?"
"GB139-0","GB139","0"
"GB139-1","GB139","1"
"GB139-?","GB139","?"
"GB140-1","GB140","1"
"GB140-0","GB140","0"
"GB140-?","GB140","?"
"GB146-?","GB146","?"
"GB146-0","GB146","0"
"GB146-1","GB146","1"
"GB147c-?","GB147c","?"
"GB147c-N/A","GB147c","N/A"
"GB147c-1","GB147c","1"
"GB147c-0","GB147c","0"
"GB149C-?","GB149C","?"
"GB149C-N/A","GB149C","N/A"
"GB149C-0","GB149C","0"
"GB149C-1","GB149C","1"
"GB150-?","GB150","?"
"GB150-0","GB150","0"
"GB150-1","GB150","1"
"GB151-?","GB151","?"
"GB151-0","GB151","0"
"GB151-1","GB151","1"
"GB152-?","GB152","?"
"GB152-1","GB152","1"
"GB152-0","GB152","0"
"GB155C-?","GB155C","?"
"GB155C-N/A","GB155C","N/A"
"GB155C-0","GB155C","0"
"GB155C-1","GB155C","1"
"GB156-?","GB156","?"
"GB156-0","GB156","0"
"GB156-1","GB156","1"
"GB158-?","GB158","?"
"GB158-1","GB158","1"
"GB158-0","GB158","0"
"GB159-?","GB159","?"
"GB159-1","GB159","1"
"GB159-0","GB159","0"
"GB167-0","GB167","0"
"GB167-?","GB167","?"
"GB167-1","GB167","1"
"GB177-?","GB177","?"
"GB177-0","GB177","0"
"GB177-1","GB177","1"
"GB192c-?","GB192c","?"
"GB192c-0","GB192c","0"
"GB192c-N/A","GB192c","N/A"
"GB192c-1","GB192c","1"
"GB196C-N/A","GB196C","N/A"
"GB196C-0","GB196C","0"
"GB196C-?","GB196C","?"
"GB196C-1","GB196C","1"
"GB197C-N/A","GB197C","N/A"
"GB197C-0","GB197C","0"
"GB197C-?","GB197C","?"
"GB197C-1","GB197C","1"
"GB198c-?","GB198c","?"
"GB198c-1","GB198c","1"
"GB198c-N/A","GB198c","N/A"
"GB198c-0","GB198c","0"
"GB203e-2","GB203e","2"
"GB203e-?","GB203e","?"
"GB203e-1","GB203e","1"
"GB203e-NA","GB203e","NA"
"GB204-0","GB204","0"
"GB204-?","GB204","?"
"GB204-1","GB204","1"
"GB250-?","GB250","?"
"GB250-1","GB250","1"
"GB250-0","GB250","0"
"GB251m-?","GB251m","?"
"GB251m-0","GB251m","0"
"GB251m-1","GB251m","1"
"GB252c-?","GB252c","?"
"GB252c-N/A","GB252c","N/A"
"GB252c-0","GB252c","0"
"GB252c-1","GB252c","1"
"GB253c-?","GB253c","?"
"GB253c-N/A","GB253c","N/A"
"GB253c-0","GB253c","0"
"GB253c-1","GB253c","1"
"GB254c-?","GB254c","?"
"GB254c-N/A","GB254c","N/A"
"GB254c-1","GB254c","1"
"GB254c-0","GB254c","0"
"GB256-?","GB256","?"
"GB256-0","GB256","0"
"GB256-1","GB256","1"
"GB257-0","GB257","0"
"GB257-?","GB257","?"
"GB257-1","GB257","1"
"GB260-0","GB260","0"
"GB260-?","GB260","?"
"GB260-1","GB260","1"
"GB262c-0","GB262c","0"
"GB262c-?","GB262c","?"
"GB262c-N/A","GB262c","N/A"
"GB262c-1","GB262c","1"
"GB263c-1","GB263c","1"
"GB263c-?","GB263c","?"
"GB263c-N/A","GB263c","N/A"
"GB263c-0","GB263c","0"
"GB264c-0","GB264c","0"
"GB264c-?","GB264c","?"
"GB264c-N/A","GB264c","N/A"
"GB264c-1","GB264c","1"
"GB265-1","GB265","1"
"GB265-?","GB265","?"
"GB265-0","GB265","0"
"GB273-0","GB273","0"
"GB273-?","GB273","?"
"GB273-1","GB273","1"
"GB285cc-N/A","GB285cc","N/A"
"GB285cc-?","GB285cc","?"
"GB285cc-0","GB285cc","0"
"GB285cc-1","GB285cc","1"
"GB286c-N/A","GB286c","N/A"
"GB286c-?","GB286c","?"
"GB286c-1","GB286c","1"
"GB286c-0","GB286c","0"
"GB291c-N/A","GB291c","N/A"
"GB291c-?","GB291c","?"
"GB291c-0","GB291c","0"
"GB291c-1","GB291c","1"
"GB296-?","GB296","?"
"GB296-1","GB296","1"
"GB296-0","GB296","0"
"GB297-0","GB297","0"
"GB297-?","GB297","?"
"GB297-1","GB297","1"
"GB298-0","GB298","0"
"GB298-?","GB298","?"
"GB298-1","GB298","1"
"GB299-1","GB299","1"
"GB299-?","GB299","?"
"GB299-0","GB299","0"
"GB300-?","GB300","?"
"GB300-0","GB300","0"
"GB300-1","GB300","1"
"GB301-?","GB301","?"
"GB301-0","GB301","0"
"GB301-1","GB301","1"
"GB302c-?","GB302c","?"
"GB302c-N/A","GB302c","N/A"
"GB302c-0","GB302c","0"
"GB302c-1","GB302c","1"
"GB304c-?","GB304c","?"
"GB304c-N/A","GB304c","N/A"
"GB304c-0","GB304c","0"
"GB304c-1","GB304c","1"
"GB309c-0","GB309c","0"
"GB309c-1","GB309c","1"
"GB309c-?","GB309c","?"
"GB309c-N/A","GB309c","N/A"
"GB313-1","GB313","1"
"GB313-?","GB313","?"
"GB313-0","GB313","0"
"GB321c-?","GB321c","?"
"GB321c-1","GB321c","1"
"GB321c-N/A","GB321c","N/A"
"GB321c-0","GB321c","0"
"GB322c-?","GB322c","?"
"GB322c-N/A","GB322c","N/A"
"GB322c-0","GB322c","0"
"GB322c-1","GB322c","1"
"GB323c-?","GB323c","?"
"GB323c-N/A","GB323c","N/A"
"GB323c-1","GB323c","1"
"GB323c-0","GB323c","0"
"GB324-?","GB324","?"
"GB324-0","GB324","0"
"GB324-1","GB324","1"
"GB325-?","GB325","?"
"GB325-1","GB325","1"
"GB325-0","GB325","0"
"GB326-1","GB326","1"
"GB326-0","GB326","0"
"GB326-?","GB326","?"
"GB327-?","GB327","?"
"GB327-1","GB327","1"
"GB327-0","GB327","0"
"GB329c-?","GB329c","?"
"GB329c-N/A","GB329c","N/A"
"GB329c-1","GB329c","1"
"GB329c-0","GB329c","0"
"GB330c-?","GB330c","?"
"GB330c-N/A","GB330c","N/A"
"GB330c-0","GB330c","0"
"GB330c-1","GB330c","1"
"GB331C-?","GB331C","?"
"GB331C-0","GB331C","0"
"GB331C-N/A","GB331C","N/A"
"GB331C-1","GB331C","1"
"GB332EON-decimal system","GB332EON","decimal system"
"GB332EON-?","GB332EON","?"
"GB332EON-neither","GB332EON","neither"
"GB332EON-body-part tallying system","GB332EON","body-part tallying system"
"GB334-0","GB334","0"
"GB334-?","GB334","?"
"GB334-1","GB334","1"
"GB335-0","GB335","0"
"GB335-?","GB335","?"
"GB335-1","GB335","1"
"GB401-?","GB401","?"
"GB401-0","GB401","0"
"GB401-1","GB401","1"
"GB402-?","GB402","?"
"GB402-0","GB402","0"
"GB402-1","GB402","1"
"GB403-?","GB403","?"
"GB403-1","GB403","1"
"GB403-0","GB403","0"
"GB408-0","GB408","0"
"GB408-?","GB408","?"
"GB408-1","GB408","1"
"GB409-0","GB409","0"
"GB409-?","GB409","?"
"GB409-1","GB409","1"
"GB410-1","GB410","1"
"GB410-?","GB410","?"
"GB410-0","GB410","0"
"GB415-0","GB415","0"
"GB415-?","GB415","?"
"GB415-1","GB415","1"
"GB421c-?","GB421c","?"
"GB421c-1","GB421c","1"
"GB421c-N/A","GB421c","N/A"
"GB421c-0","GB421c","0"
"GB422c-?","GB422c","?"
"GB422c-0","GB422c","0"
"GB422c-N/A","GB422c","N/A"
"GB422c-1","GB422c","1"
"GB430c-N/A","GB430c","N/A"
"GB430c-?","GB430c","?"
"GB430c-0","GB430c","0"
"GB430c-1","GB430c","1"
"GB431c-0","GB431c","0"
"GB431c-?","GB431c","?"
"GB431c-N/A","GB431c","N/A"
"GB431c-1","GB431c","1"
"GB432c-N/A","GB432c","N/A"
"GB432c-?","GB432c","?"
"GB432c-1","GB432c","1"
"GB432c-0","GB432c","0"
"GB433c-1","GB433c","1"
"GB433c-?","GB433c","?"
"GB433c-N/A","GB433c","N/A"
"GB433c-0","GB433c","0"
"GB480m-0","GB480m","0"
"GB480m-1","GB480m","1"
"GB480m-?","GB480m","?"
"GB500drm-?","GB500drm","?"
"GB500drm-1","GB500drm","1"
"GB500drm-0","GB500drm","0"
"GB501drm-?","GB501drm","?"
"GB501drm-1","GB501drm","1"
"GB501drm-0","GB501drm","0"
"GB510m-?","GB510m","?"
"GB510m-1","GB510m","1"
"GB510m-0","GB510m","0"
"GB522C-1","GB522C","1"
"GB522C-N/A","GB522C","N/A"
"GB522C-?","GB522C","?"
"GB522C-0","GB522C","0"
"GB549drmc-N/A","GB549drmc","N/A"
"GB549drmc-1","GB549drmc","1"
"GB549drmc-?","GB549drmc","?"
"GB549drmc-0","GB549drmc","0"
"GB550m-?","GB550m","?"
"GB550m-1","GB550m","1"
"GB550m-0","GB550m","0"
"GB551mC-?","GB551mC","?"
"GB551mC-1","GB551mC","1"
"GB551mC-0","GB551mC","0"
"GB551mC-N/A","GB551mC","N/A"
"GB552m-0","GB552m","0"
"GB552m-1","GB552m","1"
"GB552m-?","GB552m","?"
"GB553drmcC-N/A","GB553drmcC","N/A"
"GB553drmcC-0","GB553drmcC","0"
"GB553drmcC-1","GB553drmcC","1"
"GB553drmcC-?","GB553drmcC","?"
"GB555m-?","GB555m","?"
"GB555m-0","GB555m","0"
"GB555m-1","GB555m","1"
"GB556m-?","GB556m","?"
"GB556m-0","GB556m","0"
"GB556m-1","GB556m","1"
"GB556EO-?","GB556EO","?"
"GB556EO-N/A","GB556EO","N/A"
"GB556EO-1","GB556EO","1"
"GB556EO-2","GB556EO","2"
"GB557drm-1","GB557drm","1"
"GB557drm-?","GB557drm","?"
"GB557drm-0","GB557drm","0"
"GB558drm-?","GB558drm","?"
"GB558drm-0","GB558drm","0"
"GB558drm-1","GB558drm","1"
"GB559drm-?","GB559drm","?"
"GB559drm-1","GB559drm","1"
"GB559drm-0","GB559drm","0"
"GB560drmcC-?","GB560drmcC","?"
"GB560drmcC-1","GB560drmcC","1"
"GB560drmcC-N/A","GB560drmcC","N/A"
"GB560drmcC-0","GB560drmcC","0"
"GB561drmc-1","GB561drmc","1"
"GB561drmc-?","GB561drmc","?"
"GB561drmc-0","GB561drmc","0"
"GB561drmc-N/A","GB561drmc","N/A"
"GB563m-1","GB563m","1"
"GB563m-?","GB563m","?"
"GB563m-0","GB563m","0"
"GB567drm-0","GB567drm","0"
"GB567drm-1","GB567drm","1"
"GB567drm-?","GB567drm","?"
"GB568drm-1","GB568drm","1"
"GB568drm-?","GB568drm","?"
"GB568drm-0","GB568drm","0"
"GB569drmcC-?","GB569drmcC","?"
"GB569drmcC-1","GB569drmcC","1"
"GB569drmcC-N/A","GB569drmcC","N/A"
