"","data","coding.density","nr.languages","nr.families","nr.variables","coding.density.improvement","proportion.languages","proportion.families","proportion.variables"
"1","full",0.492934671308622,2313,263,38,NA,NA,NA,NA
"2","densified",0.532767080977408,2113,250,38,1.081,0.914,0.951,1
