"","data","coding.density","nr.languages","nr.families","nr.variables","coding.density.improvement","proportion.languages","proportion.families","proportion.variables"
"1","full",0.126187536489888,2223,301,235,NA,NA,NA,NA
"2","densified_large",0.361979465961767,462,173,226,2.869,0.208,0.575,0.962
"3","densified_small",0.620902595770653,161,94,173,4.92,0.072,0.312,0.736
