"","data","coding.density","nr.languages","nr.families","nr.variables","coding.density.improvement","proportion.languages","proportion.families","proportion.variables"
"1","full",0.123418155329889,4264,353,349,NA,NA,NA,NA
"2","densified_large",0.255933688142541,1432,270,338,2.074,0.336,0.765,0.968
"3","densified_small",0.392849548112706,570,170,330,3.183,0.134,0.482,0.946
