"","data","coding.density","nr.languages","nr.families","nr.variables","coding.density.improvement","proportion.languages","proportion.families","proportion.variables"
"1","full",0.620144337002575,2430,316,203,NA,NA,NA,NA
"2","densified",0.860050914140245,1450,252,149,1.387,0.597,0.797,0.734
